k,original,galerkin,wavelet_db32,standard_p4,hybrid_N12_p4_int64
154.0,1035.6586597859696,1035.6586597859696,967.5979900994619,548.6062298783697,1021.0975669013533
155.0,1006.2144308797522,1006.2144308797525,935.030125005722,528.0656233929283,990.3771006604762
156.0,1035.8606982243552,1035.8606982243555,967.5246490482932,542.9158872118766,1020.5849951332067
157.0,1041.0193837569561,1041.0193837569561,972.855093009881,537.772190416564,1023.7692555032985
158.0,1025.788215846188,1025.7882158461882,955.7656110159085,526.7966321337514,1007.4253691993514
159.0,966.9586133390862,966.9586133390865,902.6995721608275,497.7126094932472,948.1371350429446
160.0,961.0518968499514,961.0518968499517,894.4393893135364,487.9779518328162,940.6335316426614
161.0,1020.1357855270717,1020.135785527072,953.617630024068,514.3321704571347,997.7409368959611
162.0,957.2340837278124,957.2340837278124,894.0474548456378,479.4065360937634,935.0876813799982
163.0,978.0352376072433,978.0352376072435,912.5290400831608,487.75147143789144,953.0601088412791
164.0,928.4907023893435,928.4907023893436,866.0863731135371,455.9439089560639,904.9731459598847
165.0,950.8497884687099,950.8497884687099,885.035521772897,466.97913446895393,924.8094871381039
166.0,931.867813476592,931.8678134765921,867.9040202962768,454.09217726449407,904.2474531550592
167.0,886.9050935957271,886.9050935957272,826.3819367138912,423.83821607330765,860.6055956343835
168.0,917.9609077943754,917.9609077943758,855.2056945500555,436.96756914484786,889.0909966562266
169.0,915.056193199196,915.0561931991963,850.3309586634122,433.49582010594315,885.2980721608158
170.0,910.5328539535974,910.5328539535976,849.5950702096656,429.067342548072,880.4979476805185
171.0,892.5747270493627,892.574727049363,830.566604889933,416.90079535258053,860.4799902875975
172.0,831.5170346408366,831.5170346408368,773.906398589636,382.81650514834115,801.3458169354308
173.0,890.4724134017232,890.4724134017233,829.1119797333472,410.43783635380095,856.4634150462967
174.0,863.3903552663932,863.3903552663933,802.5945084421836,392.08913646983694,829.34922755691
175.0,847.7140443078664,847.7140443078665,786.4467136999268,383.3328004047154,812.5042497108218
176.0,850.4332595028602,850.4332595028603,789.5404645999771,381.893133633945,814.3701414506318
177.0,822.4931839932469,822.4931839932474,763.7371054929595,366.25545768275333,784.6346277365978
178.0,860.0610929270092,860.0610929270092,798.427879274165,377.95388668498936,820.2786638760407
179.0,824.0114438831708,824.0114438831712,765.2120706968309,359.0550061929316,784.0200362835129
180.0,836.8186167462111,836.8186167462112,776.6029186401212,363.37281209994,794.6507623916686
181.0,806.9227459470735,806.9227459470735,748.4401656106224,347.15321267882354,766.4893574008423
182.0,815.4813701248547,815.4813701248547,756.9726095684225,349.2758855843142,772.1469855214168
183.0,805.9067319648811,805.9067319648815,745.873447940552,339.64863959719514,760.9661218484571
184.0,783.9391718606375,783.9391718606378,726.7059519576353,330.80635945832756,740.4429185017523
185.0,771.9258762887549,771.9258762887553,713.5169963568001,323.94640136134143,727.6811795378239
186.0,787.5235496630767,787.523549663077,730.2313108904142,327.5350157331945,739.8646839691083
187.0,786.691108239898,786.6911082398982,729.3328409586222,324.3557540093848,737.1799478333047
188.0,770.5322706610822,770.5322706610822,714.5618496179217,316.2939673950134,720.9045483205862
189.0,760.4283238246855,760.4283238246857,703.3005966363821,308.5760830262048,709.2057543222196
190.0,737.1018801744519,737.1018801744523,680.7526128724924,299.89292388404124,688.0655274513106
191.0,772.6752710739462,772.6752710739465,715.2465279804238,308.7782263752434,716.9475893993476
192.0,735.4359522722675,735.4359522722676,678.1845860057533,292.65394753698564,680.2383400371251
