bin_center,original_r2,galerkin_r2,wavelet_db32_r2,standard_p4_r2,hybrid_N12_p4_int64_r2,original_r4,galerkin_r4,wavelet_db32_r4,standard_p4_r4,hybrid_N12_p4_int64_r4,original_r8,galerkin_r8,wavelet_db32_r8,standard_p4_r8,hybrid_N12_p4_int64_r8
-17.75,6.38079255068405e-07,1.7890060601928048e-08,3.625750494738882e-06,6.947551416896009e-06,1.8903943321299888e-06,2.386507584281807e-07,1.7898804522065843e-08,1.634761381066816e-06,5.489074069400585e-06,5.19065641139262e-07,0.0,5.972106009808662e-09,1.3735844208111407e-07,1.9409396102645523e-06,1.194421262594252e-07
-17.65,6.082740693112732e-07,2.981733638826853e-08,3.995557839642658e-06,7.609652101663373e-06,1.926211405918837e-06,2.4462169315960677e-07,3.5798291839757005e-08,1.6944565242634038e-06,5.51901126007506e-06,3.221848189748743e-07,1.1944439840858256e-08,1.7916659761287383e-08,1.4930550220158513e-07,2.287366307056861e-06,9.555552357756014e-08
-17.55,6.559693276404164e-07,1.1926707067952031e-08,4.078969306581242e-06,7.901721568572714e-06,1.9798451680351934e-06,3.0427971699593043e-07,1.7898804522065843e-08,1.7063567700186474e-06,5.9305865488958495e-06,3.99740206394604e-07,0.0,5.972106009808662e-09,1.731910791457525e-07,2.4246814823612564e-06,1.37358445198339e-07
-17.45,6.738594002124276e-07,1.7890060601928048e-08,4.156493577027962e-06,7.842085934092921e-06,2.212417341388725e-06,2.8638091011381684e-07,5.966268174021948e-09,1.885345242398226e-06,6.181174712933702e-06,5.966271737232896e-07,5.972106009808662e-09,5.972106009808662e-09,1.6721897296831275e-07,2.4246814823612564e-06,1.3138633888536772e-07
-17.35,9.899362304477583e-07,1.7890401832961118e-08,4.430894738588798e-06,7.95554537901171e-06,2.2124595405445462e-06,3.162182862794917e-07,2.3865527893171333e-08,1.9629443538121828e-06,6.157426616645905e-06,6.145377102668898e-07,5.972219920429128e-09,1.1944439840858256e-08,2.0902770308221918e-07,2.4963945596599685e-06,1.9708326737871778e-07
-17.25,8.348700533605299e-07,2.981676766988008e-08,4.597785578032365e-06,8.307243883035314e-06,2.200490563268031e-06,3.0427971699593043e-07,4.176387721815363e-08,2.1120639740790253e-06,5.8291580063091e-06,5.488969998254264e-07,0.0,2.3888424039234647e-08,2.3291214092014994e-07,2.609817260571106e-06,2.0305161464102285e-07
-17.150002,8.050532657405109e-07,2.981676766988008e-08,4.562005145518494e-06,8.814146776113564e-06,2.200490563268031e-06,3.7587494452438463e-07,1.7898804522065843e-08,2.052401149952499e-06,6.342267104100893e-06,4.474703802924672e-07,0.0,2.3888424039234647e-08,2.2096792856527043e-07,2.9442560857243823e-06,1.1347001994645394e-07
-17.05,9.064303436485753e-07,1.7890060601928048e-08,5.009260551941876e-06,9.482065882287258e-06,2.3555386788370524e-06,4.355376341314298e-07,2.983134087010974e-08,2.1657605157928988e-06,6.93293920504726e-06,6.145259889349883e-07,0.0,3.583263605885197e-08,3.0457741504942685e-07,2.7352318200035845e-06,1.7916318938913781e-07
-16.95,1.0912944268926926e-06,2.981676766988008e-08,5.212016336187143e-06,9.112324948512534e-06,2.606001019371625e-06,4.1763882724931627e-07,1.1932536348043895e-08,2.458108354012877e-06,7.016468593059878e-06,5.667958150371251e-07,1.1944212019617323e-08,2.986053004904331e-08,2.3888424709758966e-07,2.9502282076021194e-06,1.9110740201508033e-07
-16.849998,1.1330379295607191e-06,2.981676766988008e-08,5.229906552444078e-06,9.488029445735236e-06,2.421135958500869e-06,3.639424066029756e-07,2.386507269608779e-08,2.637096826392455e-06,7.833863318611921e-06,7.45783967154112e-07,2.986053004904331e-08,3.583263605885197e-08,2.627726718073486e-07,3.0636985232791243e-06,2.3291214620587915e-07
